name,closedday,address,codepostal,ville
le Vieux Moulin,,75 R. MAURICE THOREZ,94200,IVRY-SUR-SEINE
Librairie Peupleraie,Dimanche,44 BD PASTEUR,94260,FRESNES
La Cerisaie,Jeudi,5 ALL. DES FLEURS,94260,FRESNES
Tabac La Plume Verte,Dimanche,25 AV. CHARLES GIDE,94270,LE KREMLIN-BIC?TRE
Love Tabac,Dimanche,0 CCIAL  BELLE ?PINE,94320,THIAIS
Le Rocher Fleuri,Dimanche,52 AV. DU G?N?RAL GALLI?NI,94340,JOINVILLE-LE-PONT
Le Libert¨¦,Dimanche,9 PL. DES LIBERT?S,94380,BONNEUIL-SUR-MARNE
Bonn' News,Dimanche,3 AV. DU BICENTENAIRE,94380,BONNEUIL-SUR-MARNE
Maxi Tabac,Dimanche,17BIS AV. MAXIMILIEN ROBESPIERRE,94400,VITRY-SUR-SEINE
Le Totem,Dimanche,63 AV. PAUL VAILLANT COUTURIER,94400,VITRY-SUR-SEINE
Papeterie - Presse,Lundi,131 BD STALINGRAD,94400,VITRY-SUR-SEINE
Victoria,Dimanche,106 AV. ANATOLE FRANCE,94400,VITRY-SUR-SEINE
Le Val Pompadour,Dimanche,70 AV. HENRI BARBUSSE,94460,VALENTON
Le Balto,Dimanche,190 BD. DE STALINGRAD,94500,CHAMPIGNY-SUR-MARNE
Tabac de la Tour,Dimanche,15 R. DE LA TOUR,94550,CHEVILLY-LARUE
Le Stalingrad,Dimanche,58 BD DE STALINGRAD,94600,CHOISY-LE-ROI
Le Cl¨¦menceau,,36 R. GEORGES CL?MENCEAU,94600,CHOISY-LE-ROI
Civette des Gondoles,Dimanche,64 AV. VICTOR HUGO,94600,CHOISY-LE-ROI
Au Presse Papier,Dimanche,202 R. JEAN JAUR?S,94700,MAISONS-ALFORT
Le Chiquito,Dimanche,61 AV. DU G?N. DE GAULLE,94700,MAISONS-ALFORT
Le Rallye,Lundi,77 R. JEAN JAUR?S,94800,VILLEJUIF
Le Bistrot,Dimanche,34 AV. DU MAR. FOCH,95100,ARGENTEUIL
La Tabati¨¨re,Jeudi,156 AV. JEAN JAUR?S,95100,ARGENTEUIL
Le Brelan,Dimanche,2 BD LEON FEIX,95100,ARGENTEUIL
La Tabati¨¨re,Dimanche,4 PL. DE LA LIB?RATION,95200,SARCELLES
Mag Presse,Dimanche,41 R. DE SARTROUVILLE,95870,BEZONS
Tabac de la Reynie,Dimanche,26 R. DE LA REYNIE,75001,PARIS
Le Corona,Dimanche,30 Q. DU LOUVRE,75001,PARIS
Vanita Caf¨¦,Dimanche,66 R. MONTMARTRE,75002,PARIS
Le Brelan,Dimanche,58 R. BEAUBOURG,75003,PARIS
le Saint-louis,Dimanche,37 R. DES DEUX PONTS,75004,PARIS
Le Tabac de Rivoli,Dimanche,44 R. DE RIVOLI,75004,PARIS
La Corona,Dimanche,21 BD SAINT-MICHEL,75005,PARIS
Le Saint Mand¨¦,Dimanche,41-43 R. LINN?,75005,PARIS
Le Bac Saint-Michel,Dimanche,97 BD SAINT-MICHEL,75005,PARIS
Caf¨¦ Le Dauphine,Dimanche,17 R. DAUPHINE,75006,PARIS
Tabac-Presse-Loto,Dimanche,78 R. DE SEINE,75006,PARIS
Tabac des Minist¨¨res,Dimanche,45 R. VANEAU,75007,PARIS
L'instant Partag¨¦,,52 BIS R. DES MARTYRS,75009,PARIS
La Royale,Dimanche,165 R. DU FBG. POISSONNI?RE,75009,PARIS
Tabac de Pigalle,Dimanche,34 R. LA BRUY?RE,75009,PARIS
La Bouffarde Op¨¦ra,Dimanche,32 R. CAUMARTIN,75009,PARIS
La Consigne,Dimanche,10 R. DU 8 MAI 1945,75010,PARIS
Le Jean Bart,Dimanche,129 R. DU FAUBOURG DU TEMPLE,75010,PARIS
Le Balto,Dimanche,125 BD. DE MAGENTA,75010,PARIS
La Cave ¨¤ Cigares,Dimanche,4 BD. DE DENAIN,75010,PARIS
Tabac de l'Est,,72 BD DE STRASBOURG,75010,PARIS
Le Coq D'Or,Dimanche,88 R. DU FAUBOURG-SAINT-MARTIN,75010,PARIS
Le Voltaire,Dimanche,130 BD. VOLTAIRE,75011,PARIS
Le Lutecia,Dimanche,36 R. OBERKAMPF,75011,PARIS
L'Amicale,Dimanche,9 R. DES TROIS BORNES,75011,PARIS
La Petite Etincelle,Dimanche,38 BD. BEAUMARCHAIS,75011,PARIS
Caf¨¦ Tabac Le Flach,Dimanche,64 BD. VOLTAIRE,75011,PARIS
Le Jean Bart,Dimanche,17 R. P?TION,75011,PARIS
Le Royal Tabac,Dimanche,58 AV. LEDRU ROLLIN,75012,PARIS
Caf¨¦ de la Seine,Dimanche,21 AV. LEDRU-ROLLIN,75012,PARIS
Le St-Mand¨¦,Dimanche,82 AV. DE ST MAND?,75012,PARIS
Le Virginie,Dimanche,1 R. DE REUILLY,75012,PARIS
Le Narval,Dimanche,247 R. DE CHARENTON,75012,PARIS
Le Disque Bleu,Dimanche,23 R. DE WATTIGNIES,75012,PARIS
Le Dugommier,Dimanche,240 R. DU CHARENTON,75012,PARIS
Le Totem,Dimanche,96 BD . DIDEROT,75012,PARIS
Le Gavroche,Dimanche,49 BD. DE REUILLY,75012,PARIS
Le Triple 8,Dimanche,157 R. DE CHARENTON,75012,PARIS
Les Arcades,Dimanche,68 AV. DAUMESNIL,75012,PARIS
La Terrasse,Dimanche,1 PL. LACHAMBEAUDIE,75012,PARIS
Tabac de Choisy,Dimanche,47 AV. DE CHOISY,75013,PARIS
La Page Massena,Dimanche,96 BD MASSENA,75013,PARIS
Tabac Tolbiac,Dimanche,34 R. DE TOLBIAC,75013,PARIS
Le Caf¨¦ Noisette,Dimanche,93 R. PASCAL,75013,PARIS
Maison de la Presse,Dimanche,137 BD AUGUSTE BLANQUI,75013,PARIS
Tabac Store 65,Dimanche,65 BD KELLERMANN,75013,PARIS
Le Longchamps,Dimanche,21 R. DE LA BUTTE AUX CAILLES,75013,PARIS
Tabac Presse Loto,Dimanche,10 PL. PINEL,75013,PARIS
Le Tabarium,Dimanche,27 AV. DES GOBELINS,75013,PARIS
Couleur Tabac,,2 R. R?MY DUMONCEL,75014,PARIS
Le bardinet,,179 R. D' AL?SIA,75014,PARIS
La Bouffarde,Dimanche,177 BD BRUNE,75014,PARIS
Tabac des Catacombes,Dimanche,41 AV. DU G?N. LECLERC,75014,PARIS
Le Rallye,Dimanche,29 R. CAMBRONNE,75015,PARIS
Le Disque Bleu,Dimanche,60 R. DU TH??TRE,75015,PARIS
Le Lut¨¨ce,Dimanche,380 R. DE VAUGIRARD,75015,PARIS
Les Aviateurs,Dimanche,37 BD VICTOR,75015,PARIS
Le Wilson,,75 R. LABROUSTE,75015,PARIS
Le Chiquito,Dimanche,112 R. ST-CHARLES,75015,PARIS
Tabac de New Nesles,Dimanche,114 R. DE S?VRES,75015,PARIS
Le P'ti Bistrot,Dimanche,62 R. SAINT-LAMBERT,75015,PARIS
Le Balto,Dimanche,63 AV. DE LA GRANDE ARM?E,75016,PARIS
La Civette d'Auteuil,Dimanche,37 R. CHANEZ,75016,PARIS
Kennedy Eiffel,,16 AV. DU PDT KENNEDY,75016,PARIS
Moulin d' Auteuill,Dimanche,75 R. D'AUTEUIL,75016,PARIS
Le Lutetia,,161 R. LEGENDRE,75017,PARIS
Cit¨¦ de la Presse,Dimanche,29 R. TRISTAN TZARA,75018,PARIS
Le Terminus,,4 PL. FROMENT,75018,PARIS
La Divette de Clichy,,18 AV. DE CLICHY,75018,PARIS
C¨¦page Montmartrois,Dimanche,65 R. CAULAINCOURT,75018,PARIS
Le Clignancourt,Vendredi,79 BD ORNANO,75018,PARIS
Le Reinitas,Dimanche,18 R. DU POTEAU,75018,PARIS
Le Marigny,Dimanche,76 AV. DE FLANDRE,75019,PARIS
Le Concorde,Dimanche,146 AV. JEAN JAUR?S,75019,PARIS
Tabac La Gitane,Dimanche,3 R. LASSUS,75019,PARIS
