Latitude,Longitude
25.783333,55.933333
25.498669,56.358302
25.288123,55.881571
25.460122,56.012562
25.041055,56.314853
24.212717,55.783488
24.959508,56.315852
24.212717,55.783488
25.398308,56.150726
25.600312,56.269097
25.453529,56.18991
24.191667,55.760556
25.406942,55.444126
24.959508,56.315852
24.959508,56.315852
25.432273,56.345736
25.189507,56.235157
25.288123,55.881571
25.288123,55.881571
25.932264,56.405128
25.907278,56.393349
26.021389,56.091389
24.298014,53.211395
25.116412,56.341408
25.599658,56.342487
24.298014,53.211395
25.401739,56.068063
25.996111,56.084167
25.143423,56.248397
24.798996,56.115379
25.38148,55.419551
25.38148,55.419551
25.477378,56.182437
22.95805,54.297206
25.709102,55.807724
25.478194,55.533768
25.978611,56.085278
25.092227,56.24418
25.704979,55.987009
25.350928,56.025345
25.38148,55.419551
22.95805,54.297206
24.212717,55.783488
25.353969,55.37189
25.709102,55.807724
24.24914,55.745824
24.24914,55.745824
25.381235,56.173576
25.716175,55.967757
25.617288,56.011128
25.995584,56.380513
25.381235,56.173576
25.353969,55.37189
25.675,55.990278
23.102651,53.581849
23.138476,53.742603
23.138476,53.742603
24.099107,53.490769
24.218997,55.739888
24.201667,55.716389
24.201667,55.716389
23.081096,54.036351
24.865864,56.260851
24.616667,51.469683
24.259929,55.755658
24.912136,56.095661
24.24914,55.745824
24.912136,56.095661
25.601056,56.322797
24.155365,55.766667
24.155365,55.766667
25.229014,55.272329
24.221944,55.603056
25.35731,55.403304
24.053988,53.763468
24.616667,51.465768
24.616667,51.498754
24.25958,54.707814
24.865864,56.260851
25.498669,56.358302
22.992313,53.428915
25.789452,55.976649
24.110278,52.730556
25.35731,55.403304
25.35731,55.403304
25.398308,56.150726
25.721613,55.990811
25.174666,56.330388
25.163564,56.09619
24.053988,53.763468
24.053988,53.763468
25.365847,55.856185
25.452828,56.16879
24.083333,55.683333
24.959508,56.315852
24.212717,55.783488
25.432273,56.345736
25.432273,56.345736
24.099107,53.490769
25.266667,55.316667
24.442901,54.355388
24.442901,54.355388
24.870768,55.549053
25.432273,56.345736
25.432273,56.345736
23.630726,53.729897
25.223877,56.202213
25.223877,56.202213
25.189507,56.235157
25.189507,56.235157
25.432273,56.345736
25.223877,56.202213
25.78102,55.978696
25.597686,56.276736
25.619547,56.272912
25.619547,56.272912
25.258172,55.304717
25.524217,56.35868
25.524217,56.35868
23.127315,53.754393
25.272255,56.183534
25.273069,55.306374
25.273069,55.306374
24.278385,52.623689
25.272255,56.183534
25.288123,55.881571
25.273069,55.306374
25.524217,56.35868
23.127315,53.754393
25.887843,56.058239
25.288123,55.881571
25.887843,56.058239
23.283333,53.229856
25.288123,55.881571
23.139159,53.693403
25.619547,56.272912
25.619547,56.272912
25.258172,55.304717
25.258172,55.304717
25.619547,56.272912
25.619547,56.272912
25.665602,55.969045
25.665602,55.969045
25.273069,55.306374
25.258172,55.304717
25.258172,55.304717
25.288123,55.881571
23.283333,53.264763
23.077341,54.084222
24.212717,55.783488
25.684119,55.967495
25.684119,55.967495
24.957746,56.205983
25.331324,56.341993
25.734805,55.982845
25.734805,55.982845
25.354005,55.853315
25.354005,55.853315
25.354005,55.853315
25.354005,55.853315
25.414304,56.091233
25.414304,56.091233
25.14844,56.22242
24.884097,56.205284
24.957746,56.205983
25.354005,55.853315
25.258172,55.304717
25.116412,56.341408
25.116412,56.341408
25.116412,56.341408
25.734805,55.982845
25.14844,56.22242
25.766667,56.066667
23.119573,53.828551
22.9941,54.221835
25.28358,56.174102
25.401739,56.068063
25.006774,56.332905
25.07462,56.355447
25.07462,56.355447
25.294195,56.170094
25.124965,56.353807
25.124965,56.353807
25.565895,56.202173
26.048889,56.153333
26.042778,56.135487
25.294195,56.170094
25.269944,56.314253
25.219662,56.207603
25.124965,56.353807
25.124965,56.353807
25.260889,56.354349
25.61564,56.004413
25.797674,55.980293
25.797674,55.980293
23.106423,53.995273
25.285475,55.329611
25.092227,56.24418
25.704979,55.987009
25.38148,55.419551
25.38148,55.419551
24.798996,56.115379
24.798996,56.115379
24.798996,56.115379
22.95805,54.297206
25.709102,55.807724
25.478194,55.533768
25.478194,55.533768
25.478194,55.533768
24.990387,56.216691
25.38148,55.419551
25.704979,55.987009
24.28473,55.763302
25.619547,56.272912
23.119039,53.928365
25.360429,56.347729
24.876638,56.173722
22.95805,54.297206
25.619547,56.272912
23.152008,53.82462
23.119039,53.928365
23.152008,53.82462
25.460122,56.012562
25.288123,55.881571
23.316096,54.067177
23.316096,54.067177
25.514168,56.071944
23.119573,53.828551
22.9941,54.221835
22.94082,54.310162
22.94082,54.310162
25.204822,55.246569
24.24914,55.745824
24.254665,55.583333
25.789527,55.943196
25.204822,55.246569
25.204822,55.246569
25.204822,55.246569
25.07462,56.355447
23.156958,53.685414
25.789527,55.943196
25.381235,56.173576
25.381235,56.173576
25.331412,55.359006
25.716175,55.967757
25.331324,56.341993
25.038352,56.362578
25.716175,55.967757
25.801287,56.351111
25.038352,56.362578
25.331324,56.341993
25.331324,56.341993
25.038352,56.362578
25.331324,56.341993
25.331324,56.341993
25.331324,56.341993
25.331324,56.341993
25.038352,56.362578
25.965765,56.054708
25.716175,55.967757
25.452002,56.093755
25.965765,56.054708
25.78102,55.978696
25.353969,55.37189
25.353969,55.37189
25.353969,55.37189
23.162612,53.73617
25.62676,56.008144
