x,y
85,38
110,38
111,38
112,38
118,38
119,38
132,38
133,38
134,38
135,38
136,38
137,38
138,38
139,38
43,39
44,39
45,39
47,39
48,39
52,39
53,39
54,39
57,39
67,39
68,39
69,39
70,39
85,39
109,39
110,39
111,39
112,39
116,39
117,39
119,39
120,39
132,39
133,39
134,39
135,39
136,39
137,39
138,39
139,39
176,39
177,39
178,39
179,39
180,39
181,39
182,39
43,40
44,40
45,40
46,40
47,40
51,40
52,40
53,40
56,40
68,40
69,40
74,40
85,40
86,40
116,40
117,40
118,40
119,40
120,40
132,40
133,40
134,40
135,40
136,40
137,40
138,40
176,40
177,40
178,40
179,40
180,40
181,40
182,40
45,41
46,41
50,41
51,41
52,41
55,41
56,41
57,41
58,41
85,41
86,41
96,41
97,41
98,41
99,41
100,41
101,41
102,41
103,41
104,41
115,41
116,41
117,41
118,41
119,41
132,41
133,41
134,41
135,41
136,41
137,41
138,41
176,41
182,41
192,41
193,41
51,42
56,42
57,42
58,42
59,42
84,42
85,42
86,42
96,42
97,42
98,42
99,42
100,42
101,42
102,42
103,42
104,42
108,42
109,42
116,42
117,42
118,42
119,42
132,42
133,42
134,42
135,42
176,42
180,42
181,42
182,42
184,42
185,42
186,42
187,42
188,42
189,42
192,42
56,43
57,43
58,43
59,43
83,43
84,43
85,43
86,43
96,43
97,43
102,43
103,43
104,43
108,43
109,43
110,43
111,43
112,43
116,43
117,43
118,43
133,43
134,43
135,43
136,43
176,43
177,43
178,43
179,43
180,43
181,43
182,43
184,43
185,43
188,43
189,43
192,43
193,43
194,43
195,43
196,43
197,43
57,44
58,44
83,44
84,44
85,44
96,44
97,44
102,44
103,44
104,44
108,44
109,44
110,44
111,44
112,44
113,44
117,44
118,44
159,44
160,44
161,44
162,44
163,44
166,44
167,44
168,44
169,44
170,44
184,44
185,44
186,44
187,44
188,44
189,44
192,44
193,44
194,44
195,44
196,44
197,44
82,45
83,45
84,45
96,45
97,45
98,45
99,45
100,45
101,45
102,45
103,45
104,45
108,45
109,45
110,45
111,45
112,45
113,45
143,45
144,45
145,45
163,45
164,45
169,45
170,45
171,45
184,45
185,45
186,45
187,45
188,45
189,45
192,45
193,45
194,45
195,45
196,45
197,45
52,46
53,46
58,46
59,46
60,46
61,46
62,46
63,46
64,46
65,46
91,46
92,46
93,46
96,46
97,46
98,46
99,46
100,46
101,46
102,46
103,46
108,46
109,46
110,46
111,46
112,46
113,46
139,46
140,46
141,46
142,46
143,46
144,46
145,46
163,46
164,46
170,46
171,46
175,46
176,46
177,46
178,46
179,46
180,46
184,46
185,46
186,46
187,46
188,46
189,46
51,47
52,47
53,47
58,47
59,47
60,47
61,47
63,47
64,47
86,47
87,47
92,47
93,47
94,47
95,47
100,47
101,47
102,47
103,47
104,47
125,47
126,47
127,47
159,47
160,47
161,47
163,47
164,47
170,47
171,47
175,47
180,47
183,47
184,47
185,47
186,47
45,48
47,48
51,48
52,48
53,48
60,48
61,48
63,48
64,48
65,48
66,48
67,48
86,48
87,48
88,48
93,48
94,48
95,48
110,48
111,48
112,48
113,48
114,48
115,48
119,48
120,48
121,48
125,48
126,48
127,48
158,48
159,48
160,48
161,48
163,48
164,48
170,48
171,48
175,48
180,48
183,48
184,48
185,48
186,48
189,48
190,48
191,48
192,48
46,49
47,49
48,49
49,49
51,49
52,49
53,49
57,49
58,49
59,49
60,49
61,49
62,49
63,49
64,49
65,49
66,49
85,49
86,49
87,49
88,49
93,49
94,49
95,49
96,49
119,49
120,49
125,49
126,49
127,49
131,49
132,49
133,49
134,49
137,49
138,49
158,49
159,49
160,49
161,49
162,49
163,49
164,49
165,49
169,49
170,49
175,49
179,49
180,49
183,49
184,49
185,49
186,49
189,49
47,50
48,50
49,50
50,50
51,50
52,50
56,50
57,50
60,50
61,50
63,50
64,50
84,50
85,50
86,50
87,50
88,50
89,50
94,50
95,50
96,50
97,50
102,50
103,50
104,50
105,50
107,50
108,50
109,50
110,50
111,50
118,50
119,50
120,50
125,50
126,50
127,50
131,50
132,50
133,50
134,50
137,50
138,50
139,50
140,50
158,50
159,50
160,50
161,50
162,50
163,50
164,50
165,50
166,50
168,50
169,50
175,50
176,50
177,50
178,50
179,50
180,50
189,50
194,50
195,50
196,50
47,51
48,51
49,51
50,51
51,51
55,51
56,51
59,51
60,51
62,51
82,51
83,51
84,51
85,51
86,51
87,51
88,51
89,51
93,51
94,51
95,51
96,51
101,51
102,51
103,51
104,51
108,51
109,51
110,51
116,51
117,51
118,51
124,51
125,51
126,51
130,51
131,51
132,51
133,51
134,51
135,51
137,51
138,51
139,51
140,51
141,51
158,51
159,51
160,51
161,51
162,51
163,51
164,51
167,51
174,51
